race_id,rank,lane
150138,1,1
150138,2,4
150138,3,6
150139,1,1
150139,2,4
150139,3,2
150140,1,1
150140,2,4
150140,3,2
150141,1,2
150141,2,1
150141,3,3
150142,1,3
150142,2,2
150142,3,1
150143,1,1
150143,2,2
150143,3,3
150144,1,4
150144,2,3
150144,3,2
150145,1,1
150145,2,2
150145,3,4
150146,1,1
150146,2,5
150146,3,2
150147,1,3
150147,2,5
150147,3,1
150148,1,1
150148,2,2
150148,3,4
150149,1,1
150149,2,2
150149,3,6
150162,1,1
150162,2,5
150162,3,3
150163,1,2
150163,2,1
150163,3,3
150164,1,2
150164,2,1
150164,3,3
150165,1,2
150165,2,1
150165,3,3
150166,1,6
150166,2,5
150166,3,1
150167,1,1
150167,2,2
150167,3,6
150168,1,1
150168,2,2
150168,3,6
150169,1,1
150169,2,3
150169,3,2
150170,1,1
150170,2,2
150170,3,4
150171,1,1
150171,2,2
150171,3,4
150172,1,1
150172,2,3
150172,3,2
150173,1,1
150173,2,3
150173,3,4
150174,1,5
150174,2,4
150174,3,3
150175,1,2
150175,2,5
150175,3,1
150176,1,2
150176,2,1
150176,3,6
150177,1,3
150177,2,1
150177,3,4
150178,1,4
150178,2,2
150178,3,1
150179,1,4
150179,2,3
150179,3,2
150180,1,1
150180,2,2
150180,3,4
150181,1,2
150181,2,1
150181,3,5
150182,1,3
150182,2,4
150182,3,1
150183,1,1
150183,2,2
150183,3,3
150184,1,1
150184,2,2
150184,3,5
150185,1,4
150185,2,6
150185,3,2
150186,1,1
150186,2,2
150186,3,4
150187,1,1
150187,2,3
150187,3,6
150188,1,1
150188,2,4
150188,3,3
150189,1,1
150189,2,4
150189,3,3
150190,1,4
150190,2,1
150190,3,6
150191,1,3
150191,2,1
150191,3,6
150192,1,1
150192,2,2
150192,3,4
150193,1,1
150193,2,5
150193,3,3
150194,1,3
150194,2,4
150194,3,2
150195,1,1
150195,2,2
150195,3,4
150196,1,1
150196,2,5
150196,3,2
150197,1,1
150197,2,5
150197,3,2
150114,1,1
150114,2,2
150114,3,4
150115,1,2
150115,2,4
150115,3,6
150116,1,5
150116,2,2
150116,3,1
150117,1,6
150117,2,5
150117,3,1
150118,1,6
150118,2,4
150118,3,2
150119,1,1
150119,2,4
150119,3,3
150120,1,1
150120,2,6
150120,3,2
150121,1,3
150121,2,1
150121,3,2
150122,1,1
150122,2,3
150122,3,6
150123,1,3
150123,2,1
150123,3,6
150124,1,2
150124,2,1
150124,3,5
150125,1,1
150125,2,4
150125,3,5
150198,1,1
150198,2,3
150198,3,2
150199,1,1
150199,2,6
150199,3,4
150200,1,1
150200,2,4
150200,3,6
150201,1,4
150201,2,5
150201,3,2
150202,1,1
150202,2,5
150202,3,6
150203,1,2
150203,2,3
150203,3,5
150204,1,3
150204,2,4
150204,3,6
150205,1,1
150205,2,3
150205,3,4
150206,1,1
150206,2,3
150206,3,6
150207,1,1
150207,2,2
150207,3,5
150208,1,3
150208,2,5
150208,3,4
150209,1,1
150209,2,3
150209,3,2
150078,1,4
150078,2,1
150078,3,6
150079,1,2
150079,2,5
150079,3,6
150080,1,2
150080,2,1
150080,3,4
150081,1,2
150081,2,1
150081,3,4
150082,1,3
150082,2,1
150082,3,4
150083,1,3
150083,2,1
150083,3,6
150084,1,1
150084,2,3
150084,3,4
150085,1,1
150085,2,6
150085,3,2
150086,1,1
150086,2,2
150086,3,3
150087,1,1
150087,2,2
150087,3,4
150088,1,5
150088,2,2
150088,3,4
150089,1,1
150089,2,3
150089,3,5
150066,1,2
150066,2,3
150066,3,4
150067,1,1
150067,2,2
150067,3,4
150068,1,2
150068,2,6
150068,3,4
150069,1,2
150069,2,1
150069,3,4
150070,1,4
150070,2,1
150070,3,3
150071,1,1
150071,2,5
150071,3,4
150072,1,3
150072,2,5
150072,3,1
150073,1,1
150073,2,3
150073,3,5
150074,1,1
150074,2,2
150074,3,4
150075,1,3
150075,2,4
150075,3,2
150076,1,1
150076,2,5
150076,3,6
150077,1,3
150077,2,1
150077,3,4
150090,1,1
150090,2,5
150090,3,3
150091,1,1
150091,2,4
150091,3,5
150092,1,5
150092,2,3
150092,3,4
150093,1,1
150093,2,2
150093,3,6
150094,1,2
150094,2,4
150094,3,6
150095,1,1
150095,2,2
150095,3,3
150096,1,1
150096,2,5
150096,3,6
150097,1,1
150097,2,3
150097,3,4
150098,1,1
150098,2,2
150098,3,3
150099,1,1
150099,2,4
150099,3,3
150100,1,1
150100,2,2
150100,3,3
150101,1,1
150101,2,4
150101,3,2
150102,1,1
150102,2,2
150102,3,4
150103,1,1
150103,2,6
150103,3,4
150104,1,1
150104,2,3
150104,3,2
150105,1,1
150105,2,3
150105,3,2
150106,1,1
150106,2,5
150106,3,2
150107,1,4
150107,2,1
150107,3,3
150108,1,4
150108,2,3
150108,3,1
150109,1,6
150109,2,2
150109,3,3
150110,1,1
150110,2,5
150110,3,2
150111,1,4
