race_id,date,venue,lane,player_id,global_win_rate,global_2rate,local_win_rate,local_2rate,local_race_cnt,grade_period,avg_st,course_rank1,course_count,course_rank2,recent10_avg_rank,recent10_win_rate,recent10_st_mean,recent10_count,exhibit_time_raw,exhibit_time_rel,start_timing,motor_2rate,motor_2rate_rel,wind_speed,wave_height,temperature,score_total_current,model_version,is_winner
144209,2026-09-13,戸田,1,3589,4.15,22.8,0.0513,0.2564,39,B1,0.18,17,50,27,4.5,0.1,0.139,10,6.73,0.1111,0.04,47.83,1,0,0,25,38.4,v2_lr,0
144209,2026-09-13,戸田,2,3814,4.76,29.1,0,0.0833,12,B1,0.2,6,76,30,4.1,0,0.256,10,6.66,0.8889,0.08,25,0.25,0,0,25,28.06,v2_lr,1
144209,2026-09-13,戸田,3,4866,4.07,14.6,0.0625,0.125,16,B1,0.16,8,66,22,4,0,0.187,10,6.65,1,0.06,21.74,0.1429,0,0,25,18.15,v2_lr,0
144209,2026-09-13,戸田,4,3834,3.68,16.3,0.1,0.3,10,B1,0.19,1,55,8,3.7,0,0.159,10,6.74,0,0.02,28.57,0.3673,0,0,25,7.57,v2_lr,0
144209,2026-09-13,戸田,5,5259,3.03,10,0.0444,0.1333,45,B2,0.19,1,45,2,3.7,0,0.163,10,6.69,0.5556,0.05,17.39,0,0,0,25,4.02,v2_lr,0
144209,2026-09-13,戸田,6,4692,4.94,34.9,0.0833,0.1667,12,B1,0.14,11,63,16,4.2,0.1,0.125,10,6.65,1,-0.02,25,0.25,0,0,25,3.81,v2_lr,0
144210,2026-09-13,戸田,1,5313,4.52,22.6,0.0286,0.0857,35,B1,0.15,4,19,8,4.2,0,0.156,10,6.66,1,0.09,47.83,0.5678,1,1,23,31.81,v2_lr,0
144210,2026-09-13,戸田,2,3161,5.22,37.8,0.1034,0.3448,29,B1,0.21,2,66,26,3.8,0,0.168,10,6.72,0.6,0.02,23.08,0,1,1,23,24.54,v2_lr,0
144210,2026-09-13,戸田,3,4325,4.37,16.4,0.0556,0.1667,18,B1,0.17,2,68,13,4.2,0,0.138,10,6.77,0.2667,0.03,23.08,0,1,1,23,11.12,v2_lr,0
144210,2026-09-13,戸田,4,4706,5.76,38.9,0.1765,0.2647,34,A2,0.18,7,68,21,3.2,0.1,0.192,10,6.77,0.2667,0.19,66.67,1,1,1,23,16.34,v2_lr,0
144210,2026-09-13,戸田,5,4615,4.24,20.9,0.129,0.2903,31,B1,0.15,2,67,11,4,0,0.184,10,6.81,0,0.03,41.18,0.4152,1,1,23,5.07,v2_lr,0
144210,2026-09-13,戸田,6,4762,6.77,43.4,0.1905,0.2381,21,A1,0.12,9,84,24,2.5,0.5,0.102,10,6.71,0.6667,-0.17,54.17,0.7132,1,1,23,11.13,v2_lr,1
144211,2026-09-13,戸田,1,4631,4.63,29.3,0.1765,0.4706,17,B1,0.17,37,59,45,5.1,0,0.186,10,6.64,0.6071,0.15,25,0,2,1,24,28.45,v2_lr,0
144211,2026-09-13,戸田,2,5220,6.09,44,0.3697,0.5294,119,A2,0.11,17,76,38,2.6,0.3,0.082,10,6.53,1,0.11,52.94,1,2,1,24,38.83,v2_lr,1
144211,2026-09-13,戸田,3,4674,5.35,32.3,0.2353,0.3529,17,B1,0.16,8,82,25,3.2,0.1,0.123,10,6.7,0.3929,0.22,26.09,0.039,2,1,24,17.04,v2_lr,0
144211,2026-09-13,戸田,4,4467,6.48,44.7,0.1071,0.3929,28,A1,0.13,15,81,30,3.3,0.3,0.159,10,6.7,0.3929,0.37,37.5,0.4474,2,1,24,5.78,v2_lr,0
144211,2026-09-13,戸田,5,4887,5.17,38,0.2571,0.3714,35,B1,0.15,5,66,12,3.3,0.1,0.167,10,6.64,0.6071,0.17,25,0,2,1,24,9.37,v2_lr,0
144211,2026-09-13,戸田,6,5455,0,0,0,0,7,B2,,0,37,0,5.6,0,0.151,10,6.81,0,0.14,31.82,0.2441,2,1,24,0.54,v2_lr,0
144212,2026-09-13,戸田,1,4555,5.26,32.1,0.1111,0.2778,18,B1,0.18,36,69,47,3.9,0.2,0.18,10,6.57,1,0.04,42.86,0.8367,1,1,24,26.34,v2_lr,0
144212,2026-09-13,戸田,2,3072,4.14,20.4,0.0909,0.3636,33,B1,0.17,5,76,15,3.8,0.1,0.148,10,6.74,0.2917,0.01,20,0.0857,1,1,24,14.12,v2_lr,0
144212,2026-09-13,戸田,3,4295,7.01,53,0.3171,0.6341,41,A1,0.14,20,82,41,1.4,0.7,0.106,10,6.64,0.7083,0.12,17.39,0,1,1,24,25.07,v2_lr,0
144212,2026-09-13,戸田,4,5038,6.41,47.5,0.2632,0.3684,19,A2,0.18,13,66,24,2.7,0.3,0.15,10,6.6,0.875,0.06,47.83,1,1,1,24,20.2,v2_lr,1
144212,2026-09-13,戸田,5,4886,6.04,31,0.3333,0.3333,3,A2,0.13,5,58,16,2.5,0.4,0.1,10,6.7,0.4583,0.14,29.41,0.3949,1,1,24,12.55,v2_lr,0
144212,2026-09-13,戸田,6,4572,5.23,35.5,0.1429,0.3571,28,B1,0.18,0,73,8,4.7,0,0.144,10,6.81,0,0.17,26.32,0.2934,1,1,24,1.71,v2_lr,0
144213,2026-09-13,戸田,1,4578,5.74,46.6,0.1579,0.3158,19,A2,0.18,55,76,66,3.3,0.3,0.168,10,6.63,1,0.06,22.73,0.4357,1,1,24,30.67,v2_lr,0
144213,2026-09-13,戸田,2,5008,4.68,26.5,0.12,0.28,25,B1,0.16,4,63,19,3,0.4,0.099,10,6.7,0.5,0.21,30.43,0.5833,1,1,24,21.43,v2_lr,0
144213,2026-09-13,戸田,3,4708,4.19,15,0,0.125,16,B1,0.17,0,65,13,3.1,0.2,0.213,10,6.73,0.2857,0.15,0,0,1,1,24,5.45,v2_lr,0
144213,2026-09-13,戸田,4,4370,6.86,50.4,0.45,0.6,20,A1,0.14,14,59,25,2.2,0.5,0.14,10,6.69,0.5714,0.04,52.17,1,1,1,24,37.49,v2_lr,1
144213,2026-09-13,戸田,5,3075,4.31,25.5,0.1429,0.3651,63,B1,0.16,4,61,8,2.9,0.1,0.116,10,6.77,0,0.26,25,0.4792,1,1,24,3.6,v2_lr,0
144213,2026-09-13,戸田,6,3814,4.76,29.1,0,0.0833,12,B1,0.2,0,54,2,4.1,0,0.256,10,6.74,0.2143,0.17,25,0.4792,1,1,24,1.38,v2_lr,0
144214,2026-09-13,戸田,1,4649,4.74,25,0,0,3,B1,0.15,51,92,69,3.2,0.2,0.141,10,6.55,1,0.06,23.81,0.0638,1,1,24,40.72,v2_lr,0
144214,2026-09-13,戸田,2,4866,4.07,14.6,0.0625,0.125,16,B1,0.16,4,60,15,4,0,0.187,10,6.72,0.0556,0.21,21.74,0,1,1,24,11.51,v2_lr,0
144214,2026-09-13,戸田,3,4351,7.01,53.1,0.3243,0.4865,37,A1,0.15,23,74,43,2,0.4,0.123,10,6.61,0.6667,-0.02,45.45,0.7311,1,1,24,34.01,v2_lr,1
144214,2026-09-13,戸田,4,4539,6.3,45.6,0.0625,0.125,16,A1,0.13,19,71,32,3.6,0.1,0.133,10,6.73,0,0,30.43,0.268,1,1,24,6.52,v2_lr,0
144214,2026-09-13,戸田,5,3161,5.22,37.8,0.1034,0.3448,29,B1,0.21,2,67,8,3.8,0,0.168,10,6.7,0.1667,0.06,23.08,0.0413,1,1,24,3.15,v2_lr,0
144214,2026-09-13,戸田,6,4163,5.68,40.6,0.1,0.6,10,A2,0.15,0,74,3,2.5,0.2,0.134,10,6.65,0.4444,0.01,54.17,1,1,1,24,4.09,v2_lr,0
144215,2026-09-13,戸田,1,5126,6.49,49.5,0.3636,0.4545,11,A1,0.15,58,94,76,3.9,0.1,0.133,10,6.66,0.6154,0.01,50,0.7229,1,1,24,40.48,v2_lr,1
144215,2026-09-13,戸田,2,4615,4.24,20.9,0.129,0.2903,31,B1,0.15,3,71,13,4,0,0.184,10,6.69,0.3846,0.08,41.18,0.5274,1,1,24,19.81,v2_lr,0
144215,2026-09-13,戸田,3,3692,4.39,20.1,0.1786,0.3214,28,B1,0.19,5,70,25,3.1,0.2,0.121,10,6.61,1,-0.09,62.5,1,1,1,24,23.57,v2_lr,0
144215,2026-09-13,戸田,4,5259,3.03,10,0.0444,0.1333,45,B2,0.19,1,54,7,3.7,0,0.163,10,6.68,0.4615,-0.03,17.39,0,1,1,24,4.77,v2_lr,0
144215,2026-09-13,戸田,5,4674,5.35,32.3,0.2353,0.3529,17,B1,0.16,5,74,12,3.2,0.1,0.123,10,6.74,0,-0.03,26.09,0.1929,1,1,24,6.6,v2_lr,0
144215,2026-09-13,戸田,6,4973,5.03,31.7,0.1951,0.3415,41,B1,0.16,1,59,1,3.3,0,0.199,10,6.66,0.6154,0.07,53.33,0.7967,1,1,24,4.76,v2_lr,0
144216,2026-09-13,戸田,1,4883,6.14,47.8,0.1875,0.4063,32,A2,0.18,33,50,37,2.5,0.3,0.124,10,6.65,1,0.01,21.74,0,1,1,25,36.09,v2_lr,0
144216,2026-09-13,戸田,2,4572,5.23,35.5,0.1429,0.3571,28,B1,0.18,7,65,24,4.7,0,0.144,10,6.7,0.1667,0.08,26.32,0.1755,1,1,25,20.38,v2_lr,0
144216,2026-09-13,戸田,3,3589,4.15,22.8,0.0513,0.2564,39,B1,0.18,3,54,13,4.5,0.1,0.139,10,6.65,1,0.04,47.83,1,1,1,25,17.64,v2_lr,1
144216,2026-09-13,戸田,4,4325,4.37,16.4,0.0556,0.1667,18,B1,0.17,3,58,13,4.2,0,0.138,10,6.69,0.3333,0.12,23.08,0.0514,1,1,25,4.98,v2_lr,0
144216,2026-09-13,戸田,5,3711,6.1,41.8,0,0.3333,3,A2,0.16,4,76,20,2.9,0.1,0.139,10,6.65,1,0.09,36.36,0.5604,1,1,25,18.92,v2_lr,0
144216,2026-09-13,戸田,6,4467,6.48,44.7,0.1071,0.3929,28,A1,0.13,4,67,13,3.3,0.3,0.159,10,6.71,0,0.08,37.5,0.6041,1,1,25,1.98,v2_lr,0
144217,2026-09-13,戸田,1,4451,6.04,42.3,0.25,0.5,4,A2,0.14,70,116,100,2.4,0.3,0.122,10,6.7,0.2,-0.06,44.44,0.8204,1,1,25,30.75,v2_lr,1
144217,2026-09-13,戸田,2,4886,6.04,31,0.3333,0.3333,3,A2,0.13,10,73,34,2.5,0.4,0.1,10,6.67,0.4,0.05,29.41,0.5429,1,1,25,27.96,v2_lr,0
144217,2026-09-13,戸田,3,4762,6.77,43.4,0.1905,0.2381,21,A1,0.12,16,68,36,2.5,0.5,0.102,10,6.58,1,-0.06,54.17,1,1,1,25,23.66,v2_lr,0
144217,2026-09-13,戸田,4,4708,4.19,15,0,0.125,16,B1,0.17,2,71,10,3.1,0.2,0.213,10,6.58,1,-0.07,0,0,1,1,25,4.32,v2_lr,0
144217,2026-09-13,戸田,5,4692,4.94,34.9,0.0833,0.1667,12,B1,0.14,11,68,15,4.2,0.1,0.125,10,6.72,0.0667,-0.05,25,0.4615,1,1,25,2.39,v2_lr,0
144217,2026-09-13,戸田,6,5220,6.09,44,0.3697,0.5294,119,A2,0.11,9,75,18,2.6,0.3,0.082,10,6.73,0,0,52.94,0.9773,1,1,25,10.92,v2_lr,0
144218,2026-09-13,戸田,1,4706,5.76,38.9,0.1765,0.2647,34,A2,0.18,53,91,65,3.2,0.1,0.192,10,6.7,0.5,0.15,66.67,1,1,1,25,32.79,v2_lr,0
144218,2026-09-13,戸田,2,4363,5.84,40.1,0.15,0.35,40,A2,0.16,11,85,34,2.4,0.3,0.123,10,6.64,1,0.12,21.74,0.0883,1,1,25,24.53,v2_lr,0
144218,2026-09-13,戸田,3,4163,5.68,40.6,0.1,0.6,10,A2,0.15,13,91,36,2.5,0.2,0.134,10,6.66,0.8333,0.08,54.17,0.7463,1,1,25,19.29,v2_lr,1
144218,2026-09-13,戸田,4,4846,3.99,20.2,0.087,0.2609,23,B1,0.14,3,64,10,4.6,0,0.18,10,6.7,0.5,0.03,39.13,0.4412,1,1,25,6.61,v2_lr,0
144218,2026-09-13,戸田,5,4295,7.01,53,0.3171,0.6341,41,A1,0.14,2,79,24,1.4,0.7,0.106,10,6.69,0.5833,0.08,17.39,0,1,1,25,14.53,v2_lr,0
144218,2026-09-13,戸田,6,5008,4.68,26.5,0.12,0.28,25,B1,0.16,0,49,2,3,0.4,0.099,10,6.76,0,0.08,30.43,0.2646,1,1,25,2.25,v2_lr,0
144219,2026-09-13,戸田,1,4539,6.3,45.6,0.0625,0.125,16,A1,0.13,61,90,76,3.6,0.1,0.133,10,6.57,1,0.01,30.43,0.3477,1,1,25,31.52,v2_lr,1
