race_id,combo,odds
149189,1-2-3,9.4
149189,2-1-3,64.7
149189,3-1-2,430.2
149189,4-1-2,95.4
149189,5-1-2,75.7
149189,6-1-2,1389
149189,1-2-4,5.6
149189,2-1-4,56.1
149189,3-1-4,559.2
149189,4-1-3,360.2
149189,5-1-3,291
149189,6-1-3,2936
149189,1-2-5,4.1
149189,2-1-5,25
149189,3-1-5,530.2
149189,4-1-5,80.8
149189,5-1-4,103
149189,6-1-4,2116
149189,1-2-6,37.3
149189,2-1-6,190.8
149189,3-1-6,1140
149189,4-1-6,260.4
149189,5-1-6,211.2
149189,6-1-5,2472
149189,1-3-2,22.8
149189,2-3-1,496.5
149189,3-2-1,734
149189,4-2-1,219.7
149189,5-2-1,187.7
149189,6-2-1,2135
149189,1-3-4,42.7
149189,2-3-4,1107
149189,3-2-4,1441
149189,4-2-3,1039
149189,5-2-3,947.1
149189,6-2-3,3558
149189,1-3-5,29.7
149189,2-3-5,1043
149189,3-2-5,1654
149189,4-2-5,329.4
149189,5-2-4,289.9
149189,6-2-4,4793
149189,1-3-6,124.9
149189,2-3-6,2763
149189,3-2-6,2639
149189,4-2-6,838.8
149189,5-2-6,804.4
149189,6-2-5,4893
149189,1-4-2,11.3
149189,2-4-1,235.3
149189,3-4-1,1192
149189,4-3-1,950.9
149189,5-3-1,1140
149189,6-3-1,3981
149189,1-4-3,43.9
149189,2-4-3,986.9
149189,3-4-2,1642
149189,4-3-2,1597
149189,5-3-2,1349
149189,6-3-2,3728
149189,1-4-5,14.5
149189,2-4-5,394.1
149189,3-4-5,2302
149189,4-3-5,1990
149189,5-3-4,2472
149189,6-3-4,5592
149189,1-4-6,65
149189,2-4-6,1198
149189,3-4-6,3850
149189,4-3-6,3174
149189,5-3-6,4349
149189,6-3-5,5106
149189,1-5-2,9.9
149189,2-5-1,139.6
149189,3-5-1,1180
149189,4-5-1,131.5
149189,5-4-1,212.5
149189,6-4-1,3131
149189,1-5-3,31.1
149189,2-5-3,782.9
149189,3-5-2,1677
149189,4-5-2,233.7
149189,5-4-2,386.9
149189,6-4-2,3670
149189,1-5-4,16.8
149189,2-5-4,302.6
149189,3-5-4,2525
149189,4-5-3,889.7
149189,5-4-3,1365
149189,6-4-3,4049
149189,1-5-6,50.8
149189,2-5-6,1043
149189,3-5-6,3981
149189,4-5-6,337.9
149189,5-4-6,619.7
149189,6-4-5,3262
149189,1-6-2,121.4
149189,2-6-1,1102
149189,3-6-1,3788
149189,4-6-1,665.4
149189,5-6-1,906.9
149189,6-5-1,3850
149189,1-6-3,252.5
