race_id,combo,amount
149189,1-2-4,560
149190,1-2-3,400
149191,1-3-5,810
149192,5-6-2,41630
149193,2-1-6,21530
149194,3-2-5,1150
149195,5-2-6,30450
149196,1-4-5,1460
149197,1-3-4,3370
149198,1-4-2,1790
149199,1-4-3,1620
149200,1-4-2,1000
149237,4-5-3,6410
149238,1-4-5,1520
149239,1-5-4,3030
149240,1-4-6,1260
149241,6-1-5,9430
149242,3-5-6,97960
149243,1-2-3,780
149244,3-1-5,6720
149245,1-3-6,1920
149247,1-2-4,340
149248,1-4-6,1710
149201,1-2-5,1370
149202,1-3-2,470
149203,3-1-5,1600
149204,4-1-6,6940
149205,4-6-2,28360
149206,1-4-2,1660
149207,3-5-2,2020
149208,3-4-1,5340
149209,1-3-4,610
149210,2-1-4,1740
149211,1-2-3,530
149212,1-6-2,1120
149249,1-4-6,1620
149250,1-5-6,5080
149251,2-1-3,2850
149252,4-3-5,17630
149253,1-4-2,630
149254,3-5-4,8380
149255,2-3-4,42080
149256,6-5-4,289910
149257,1-2-4,1330
149258,4-5-1,2560
149259,1-6-2,29590
149260,2-4-3,22430
149273,2-4-1,13220
149274,3-1-2,3940
149275,1-4-6,730
149276,1-2-6,4510
149277,5-1-6,23850
149278,2-3-6,8620
149279,5-2-4,35900
149280,4-2-1,16570
149281,1-4-5,3250
149282,1-4-2,1140
149283,4-2-3,18860
149284,5-2-1,12730
149165,6-2-1,4170
149166,4-5-1,4630
149167,1-3-4,840
149168,4-1-2,3480
149169,3-2-4,18630
149170,1-5-4,1870
149171,1-3-4,1400
149172,4-5-6,9020
149173,1-4-2,3230
149174,1-3-4,1090
149175,1-3-2,1260
149176,1-2-4,740
149285,1-3-4,1630
149286,1-2-4,1330
149287,3-1-4,1540
149288,4-5-6,5740
149289,1-6-3,4130
149290,3-4-5,52040
149291,4-1-6,3580
149292,5-1-6,111260
149293,2-1-5,6930
149294,1-3-5,1620
149295,1-4-2,1980
149296,1-4-2,2250
149261,4-1-3,15310
149262,4-1-2,1550
149263,3-1-2,7370
149264,5-2-1,2970
149265,1-2-3,430
149266,2-1-6,1410
149267,1-2-3,2050
149268,2-1-3,2250
149269,1-4-3,600
149270,2-3-5,1030
149271,1-3-5,2940
149272,1-6-2,17660
149213,3-1-2,1370
149214,5-4-6,61580
149215,4-3-5,3900
149216,1-5-4,1280
149217,1-4-3,1110
149218,1-6-3,37440
149219,1-3-2,7290
149220,4-3-5,3070
149221,1-3-2,2130
149222,1-5-4,2780
149223,1-5-3,3390
149224,1-2-3,380
149141,3-4-2,2230
149142,1-3-2,1150
149143,3-4-6,1090
149144,1-6-5,20570
149145,1-3-4,950
149146,3-2-4,6400
149147,1-5-2,1940
149148,1-4-3,16920
149149,1-3-5,3290
149150,3-5-2,3550
149151,5-6-2,7730
149152,1-6-2,12250
149129,2-4-5,1120
149130,5-2-3,32820
149131,1-5-4,8730
149132,2-3-5,3090
149133,1-3-6,1260
149134,4-6-2,15350
149135,1-3-4,590
149136,4-5-1,11130
149137,1-2-6,900
149138,1-3-5,1830
149139,1-2-4,1350
149140,1-4-6,6410
149153,5-4-6,5800
149154,1-2-3,1390
149155,1-3-2,3160
149156,2-4-3,1250
149157,2-5-1,3610
149158,1-3-4,1190
149159,3-2-6,2060
149160,1-4-2,2510
149161,3-2-5,8830
149162,5-1-2,6210
149163,3-4-1,8800
149164,1-3-2,1050
149177,5-6-3,76330
149178,1-3-6,2220
149179,2-1-5,2170
149180,1-5-3,2080
149181,4-3-6,4960
149182,1-2-3,1400
149183,4-2-5,1320
149184,1-3-2,1180
149185,1-3-2,1460
149186,1-4-3,4380
149187,1-4-3,2870
149188,1-2-6,580
149225,1-3-2,1480
149226,1-4-2,8640
149227,5-1-6,2560
149228,3-1-2,2140
149229,2-5-6,103430
149230,1-2-6,1660
149231,1-4-6,2210
149232,1-2-6,1540
149233,3-2-5,7730
149234,2-6-4,40980
149235,4-1-6,12540
149236,3-2-5,16120
